league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Monique Ambers,,PHO,F,19,4.5,0.7,0.2,1.1,0.5,0.2,0.5,0.444,0.0,0.0,,0.2,0.5,0.444,0.3,0.8,0.4,0.0,0.1,0.4,0.7,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Marcie Alberts,,CLE,G,5,6.0,0.0,0.6,0.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,,0.4,0.0,0.6,0.4,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Denique Graves,,SAC,C,22,3.9,0.7,0.0,0.7,0.1,0.3,1.2,0.222,0.0,0.0,,0.3,1.2,0.222,0.2,0.4,0.5,0.0,0.3,0.5,0.7,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Tammy Jackson,,HOU,F-C,28,19.5,4.1,0.4,4.1,1.5,1.6,3.9,0.409,0.0,0.0,0.0,1.6,3.9,0.413,0.9,1.5,0.61,1.6,0.4,1.8,3.0,,,,,,1997,1.0,3
WNBA,WNBA,1997-98,1997,Susie Hopson-Shelton,,CHA,F,6,4.8,2.7,0.2,0.8,0.2,1.2,1.8,0.636,0.0,0.0,,1.2,1.8,0.636,0.3,0.3,1.0,0.2,0.0,0.3,0.5,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Jessie Hicks,,UTA,C-F,26,10.1,3.2,0.4,1.4,0.7,1.4,3.1,0.463,0.0,0.0,0.0,1.4,3.0,0.468,0.3,0.6,0.563,0.5,0.4,0.5,2.2,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Dena Head,,UTA,G,27,17.4,5.7,1.7,2.3,0.8,2.0,5.0,0.39,0.4,1.2,0.313,1.6,3.9,0.413,1.4,1.7,0.844,0.5,0.3,2.3,1.7,,,,,,1997,1.0,4
WNBA,WNBA,1997-98,1997,Fran Harris,,HOU,G-F,25,14.8,4.2,1.0,2.2,0.6,1.5,4.3,0.346,0.3,1.0,0.333,1.2,3.3,0.349,0.9,1.2,0.71,0.7,0.1,1.2,1.1,,,,,,1997,1.0,1
WNBA,WNBA,1997-98,1997,Kym Hampton,,NYL,C,28,23.7,9.8,1.4,5.8,1.9,3.6,7.5,0.474,0.0,0.0,0.0,3.6,7.5,0.476,2.6,4.1,0.64,1.4,0.7,1.8,2.4,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Wanda Guyton,,HOU,C,25,26.7,6.1,0.5,5.4,3.0,2.3,4.9,0.467,0.0,0.0,,2.3,4.9,0.467,1.5,2.7,0.559,1.0,0.3,1.7,3.3,,,,,,1997,1.0,25
